city,speciality,profile_url,name,degree,year_of_experience,location,dp_score,npv,consultation_fee,google_map_link,scraped_at
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-lalchand-bandagi-cardiac-surgeon?practice_id=630200&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Lalchand Bandagi,MBBS,22,Old Airport Road,,1,0,"http://www.google.com/maps/place/12.95959,77.64937",2025-08-17T23:39:34.480645
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-lalchand-bandagi-cardiac-surgeon/recommended?practice_id=630200&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Lalchand Bandagi,MBBS,22,Bangalore,,1,22,"https://www.google.com/maps/search/Dr.+Lalchand+Bandagi+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:39:37.644534
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-karthik-vasudevan-cardiologist-1/recommended?practice_id=1131812&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Karthik Vasudevan,MBBS,1,Bangalore,,1,1,"https://www.google.com/maps/search/Dr.+Karthik+Vasudevan+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:39:40.526143
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-keshav-r-cardiologist?practice_id=630200&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Keshava R,,33,Old Airport Road,95,1,0,"http://www.google.com/maps/place/12.95959,77.64937",2025-08-17T23:39:43.496815
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-abhijeet-vikas-kulkarni-cardiologist?practice_id=728755&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Abhijit Vilas Kulkarni,MBBS,15,Bannerghatta Road,94,1,0,"http://www.google.com/maps/place/12.89666,77.59855",2025-08-17T23:39:46.675441
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-shyam-sunder-k-r-cardiologist/recommended?practice_id=1319951&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Shyam Sunder K R,MBBS,38,Bangalore,93,1,38,"https://www.google.com/maps/search/Dr.+Shyam+Sunder+K+R+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:39:49.621952
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-aarti-talikoti-dentist/recommended?practice_id=654730&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Aarti Talikoti,BDS,10,Bangalore,97,1,2008,"https://www.google.com/maps/search/Dr.+Aarti+Talikoti+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:39:52.710184
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-aarti-talikoti-dentist?practice_id=654730&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Aarti Talikoti,BDS,10,Jayanagar 9 Block,97,1,0,"http://www.google.com/maps/place/12.92061,77.59496",2025-08-17T23:39:55.590525
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-s-tamil-arasi-dentist?practice_id=1409516&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. S Tamil Arasi,BDS,21,Whitefield,,2,0,"http://www.google.com/maps/place/12.9558534,77.7300762",2025-08-17T23:39:58.657641
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-sunil-rao-dentist-1?practice_id=779552&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Sunil Rao,BDS,18,Vijayanagar,97,1,0,"http://www.google.com/maps/place/12.964420269994,77.538014352322",2025-08-17T23:40:01.686384
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-s-tamil-arasi-dentist/recommended?practice_id=1409516&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. S Tamil Arasi,BDS,21,Bangalore,,2,21,"https://www.google.com/maps/search/Dr.+S+Tamil+Arasi+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:04.765617
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-baswaraj-biradar-dentist?practice_id=734346&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Baswaraj Biradar,BDS,13,Sahakaranagar,99,1,0,"http://www.google.com/maps/place/13.061059832056454,77.58721668834707",2025-08-17T23:40:07.599491
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-sunil-rao-dentist-1/recommended?practice_id=779552&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Sunil Rao,BDS,18,Bangalore,97,1,1,"https://www.google.com/maps/search/Dr.+Sunil+Rao+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:10.747181
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-harish-prasad-b-r-dermatologist-cosmetologist?practice_id=1133982&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Harish Prasad B.R,MD,1,BTM Layout,95,1,0,"http://www.google.com/maps/place/12.91341,77.6067",2025-08-17T23:40:13.829999
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-sanjay-kaul-dentist-1/recommended?practice_id=697572&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Sanjay Kaul,BDS,29,Bangalore,93,1,1,"https://www.google.com/maps/search/Dr.+Sanjay+Kaul+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:16.714142
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-sanjay-kaul-dentist-1?practice_id=697572&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Sanjay Kaul,BDS,29,Koramangala,93,1,0,"http://www.google.com/maps/place/12.934589431275,77.630532051956",2025-08-17T23:40:19.888988
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-shyam-padmanabhan-dentist/recommended?practice_id=1235728&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Shyam Padmanabhan,BDS,5,Bangalore,99,1,2001,"https://www.google.com/maps/search/Dr.+Shyam+Padmanabhan+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:22.808374
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-baswaraj-biradar-dentist/recommended?practice_id=734346&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Baswaraj Biradar,BDS,13,Bangalore,99,1,1998,"https://www.google.com/maps/search/Dr.+Baswaraj+Biradar+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:25.709292
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-vivekananda-reddy-dentist/recommended?practice_id=1370881&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Vivekananda Reddy,MDS,22,Bangalore,98,22,22,"https://www.google.com/maps/search/Dr.+Vivekananda+Reddy+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:28.795241
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-vivekananda-reddy-dentist?practice_id=1370881&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Vivekananda Reddy,MDS,22,Hoodi,98,1,0,"http://www.google.com/maps/place/12.991662834049,77.720235629977",2025-08-17T23:40:31.686510
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-harish-prasad-b-r-dermatologist-cosmetologist/recommended?practice_id=1133982&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Harish Prasad B.R,MD,1,Bangalore,95,1,1,"https://www.google.com/maps/search/Dr.+Harish+Prasad+B.R+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:35.181019
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-sunil-rao-dentist-1/recommended?practice_id=779552&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Sunil Rao,BDS,18,Bangalore,97,1,1,"https://www.google.com/maps/search/Dr.+Sunil+Rao+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:38.056624
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-baswaraj-biradar-dentist?practice_id=734346&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Baswaraj Biradar,BDS,13,Sahakaranagar,99,1,0,"http://www.google.com/maps/place/13.061059832056454,77.58721668834707",2025-08-17T23:40:40.697761
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-sanjay-kaul-dentist-1/recommended?practice_id=697572&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Sanjay Kaul,BDS,29,Bangalore,93,1,1,"https://www.google.com/maps/search/Dr.+Sanjay+Kaul+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:43.875059
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-vivekananda-reddy-dentist/recommended?practice_id=1370881&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Vivekananda Reddy,MDS,22,Bangalore,98,22,22,"https://www.google.com/maps/search/Dr.+Vivekananda+Reddy+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:46.796778
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-vivekananda-reddy-dentist?practice_id=1370881&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Vivekananda Reddy,MDS,22,Hoodi,98,1,0,"http://www.google.com/maps/place/12.991662834049,77.720235629977",2025-08-17T23:40:49.817686
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-s-tamil-arasi-dentist?practice_id=1409516&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. S Tamil Arasi,BDS,21,Whitefield,,2,0,"http://www.google.com/maps/place/12.9558534,77.7300762",2025-08-17T23:40:52.699774
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-shyam-padmanabhan-dentist/recommended?practice_id=1235728&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Shyam Padmanabhan,BDS,5,Bangalore,99,1,2001,"https://www.google.com/maps/search/Dr.+Shyam+Padmanabhan+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:40:55.843655
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-sunil-rao-dentist-1?practice_id=779552&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Sunil Rao,BDS,18,Vijayanagar,97,1,0,"http://www.google.com/maps/place/12.964420269994,77.538014352322",2025-08-17T23:40:58.955555
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-harish-prasad-b-r-dermatologist-cosmetologist/recommended?practice_id=1133982&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Harish Prasad B.R,MD,1,Bangalore,95,1,1,"https://www.google.com/maps/search/Dr.+Harish+Prasad+B.R+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:01.999488
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-sanjay-kaul-dentist-1?practice_id=697572&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Sanjay Kaul,BDS,29,Koramangala,93,1,0,"http://www.google.com/maps/place/12.934589431275,77.630532051956",2025-08-17T23:41:04.844193
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-aarti-talikoti-dentist?practice_id=654730&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Aarti Talikoti,BDS,10,Jayanagar 9 Block,97,1,0,"http://www.google.com/maps/place/12.92061,77.59496",2025-08-17T23:41:08.005018
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-s-tamil-arasi-dentist/recommended?practice_id=1409516&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. S Tamil Arasi,BDS,21,Bangalore,,2,21,"https://www.google.com/maps/search/Dr.+S+Tamil+Arasi+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:10.853015
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-harish-prasad-b-r-dermatologist-cosmetologist?practice_id=1133982&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Harish Prasad B.R,MD,1,BTM Layout,95,1,0,"http://www.google.com/maps/place/12.91341,77.6067",2025-08-17T23:41:14.477266
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-aarti-talikoti-dentist/recommended?practice_id=654730&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Aarti Talikoti,BDS,10,Bangalore,97,1,2008,"https://www.google.com/maps/search/Dr.+Aarti+Talikoti+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:16.959046
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-baswaraj-biradar-dentist/recommended?practice_id=734346&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Baswaraj Biradar,BDS,13,Bangalore,99,1,1998,"https://www.google.com/maps/search/Dr.+Baswaraj+Biradar+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:19.912174
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-m-sudhakar-rao-cardiologist/recommended?practice_id=1322328&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. M Sudhakar Rao,MBBS,9,Bangalore,,1,9,"https://www.google.com/maps/search/Dr.+M+Sudhakar+Rao+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:23.098180
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-ramanresh-soudri-cardiologist/recommended?practice_id=2076082&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. Ramnaresh Soudri,MBBS,39,Bangalore,96,1,39,"https://www.google.com/maps/search/Dr.+Ramnaresh+Soudri+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:26.057340
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-m-sudhakar-rao-cardiologist?practice_id=1322328&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. M Sudhakar Rao,MBBS,9,HSR Layout,,1,0,"http://www.google.com/maps/place/12.9239618,77.5657913",2025-08-17T23:41:29.067758
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-jayaranganath-m-cardiologist?practice_id=1055989&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. Jayaranganath M,MBBS,23,Seshadripuram,91,1,0,"http://www.google.com/maps/place/12.9878536,77.571869",2025-08-17T23:41:31.907057
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-a-naga-srinivaas-cardiologist?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. A Naga Srinivaas,MBBS,37,Hoodi,98,1,0,"http://www.google.com/maps/place/12.9912,77.7232",2025-08-17T23:41:34.905946
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-major-v-jayaprasad-cardiologist/recommended?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. V Jayaprasad,MBBS,20,Bangalore,,1,20,"https://www.google.com/maps/search/Dr.+V+Jayaprasad+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:37.960440
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-arivazhagan-cardiologist?practice_id=1713746&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. Arivazhagan,MBBS,15,Kasturi nagar,,1,0,"http://www.google.com/maps/place/13.010432635310373,77.65827119350433",2025-08-17T23:41:40.885941
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-arivazhagan-cardiologist/recommended?practice_id=1713746&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. Arivazhagan,MBBS,15,Bangalore,,1,15,"https://www.google.com/maps/search/Dr.+Arivazhagan+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:44.020594
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-a-naga-srinivaas-cardiologist/recommended?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. A Naga Srinivaas,MBBS,37,Bangalore,98,1,39,"https://www.google.com/maps/search/Dr.+A+Naga+Srinivaas+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:47.368867
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-pavankumar-rasalkar-cardiologist/recommended?practice_id=1422628&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. Pavankumar Rasalkar,MD,15,Bangalore,99,15,15,"https://www.google.com/maps/search/Dr.+Pavankumar+Rasalkar+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:50.077598
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-major-v-jayaprasad-cardiologist?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. V Jayaprasad,MBBS,20,Hoodi,,1,0,"http://www.google.com/maps/place/12.9912,77.7232",2025-08-17T23:41:53.120860
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-jayaranganath-m-cardiologist/recommended?practice_id=1055989&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. Jayaranganath M,MBBS,23,Bangalore,91,1,23,"https://www.google.com/maps/search/Dr.+Jayaranganath+M+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:41:56.431043
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-sayajirao-shivaji-sargar-cardiologist?practice_id=2076082&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. Sayajirao Shivaji Sargar,MBBS,20,Marathahalli,,2,0,"http://www.google.com/maps/place/12.956102314138018,77.7112604",2025-08-17T23:41:59.109771
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-pavankumar-rasalkar-cardiologist?practice_id=1422628&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. Pavankumar Rasalkar,MD,15,Kanakpura Road,99,1,0,"http://www.google.com/maps/place/12.883429359113,77.550292854957",2025-08-17T23:42:02.012938
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-ramanresh-soudri-cardiologist?practice_id=2076082&specialization=Cardiologist&referrer=doctor_listing&page_uid=a9df5804-c9f2-4fc8-ba3b-718da05fb5cb,Dr. Ramnaresh Soudri,MBBS,39,Marathahalli,96,1,0,"http://www.google.com/maps/place/12.956102314138018,77.7112604",2025-08-17T23:42:05.244906
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-k-a-mohan/recommended?practice_id=1138332&specialization=Doctor&referrer=doctor_listing&page_uid=32dc26ed-3117-4f11-978e-15003bc572a1,Dr. K A Mohan,BDS,47,Bangalore,97,1,2,"https://www.google.com/maps/search/Dr.+K+A+Mohan+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:42:08.137367
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-sumanth-shetty-2-dentist/recommended?practice_id=745107&specialization=Doctor&referrer=doctor_listing&page_uid=32dc26ed-3117-4f11-978e-15003bc572a1,Dr. Sumanth Shetty,BDS,26,Bangalore,96,2,2,"https://www.google.com/maps/search/Dr.+Sumanth+Shetty+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:42:11.075040
